review,token
"Pelayanannya ramah bgtt, fasilitas kamar juga oke. Recommended utk yang mau liburan krn lokasinya dekat banyak tempat wisata","['pelayanannya', 'ramah', 'bgtt', 'fasilitas', 'kamar', 'juga', 'oke', 'recommended', 'utk', 'yang', 'mau', 'liburan', 'krn', 'lokasinya', 'dekat', 'banyak', 'tempat', 'wisata']"
"Baru kali ini sangat kecewa dengan pelayanan hotel Mercure, di kota mana pun baru kali ini saya sangat kecewa. Minta kunci kamar punya suami saja yang sudah di titipkan susahnya minta amoun harus tunggu bberapa lama, berasa saya di curigai sama pihak lobby, keterlaluan buat emosi.","['baru', 'kali', 'ini', 'sangat', 'kecewa', 'dengan', 'pelayanan', 'hotel', 'mercure', 'di', 'kota', 'mana', 'pun', 'baru', 'kali', 'ini', 'saya', 'sangat', 'kecewa', 'minta', 'kunci', 'kamar', 'punya', 'suami', 'saja', 'yang', 'sudah', 'di', 'titipkan', 'susahnya', 'minta', 'amoun', 'harus', 'tunggu', 'bberapa', 'lama', 'berasa', 'saya', 'di', 'curigai', 'sama', 'pihak', 'lobby', 'keterlaluan', 'buat', 'emosi']"
"Liburan menyenangkan di jogja
Stay di hotel yg luar biasa","['liburan', 'menyenangkan', 'di', 'jogja', 'stay', 'di', 'hotel', 'yg', 'luar', 'biasa']"
lokasinya juga mantap dekat dengan bandara dan tempat-tempat wisata. untuk kamarnya sendiri menurut saya nyaman dan fasilitasnya lengkap. pelayanan nya baik dan stafnya ramah-ramah.,"['lokasinya', 'juga', 'mantap', 'dekat', 'dengan', 'bandara', 'dan', 'tempat', 'tempat', 'wisata', 'untuk', 'kamarnya', 'sendiri', 'menurut', 'saya', 'nyaman', 'dan', 'fasilitasnya', 'lengkap', 'pelayanan', 'nya', 'baik', 'dan', 'stafnya', 'ramah', 'ramah']"
"Saya merekomendasikan anda untuk menginap di hotel ini. Pelayanannya bagus, ramah dan makanannya juga enak. Sebagai ibu yg sedang menyusui saya sangat mengapresiasi atas layanan penyimpanan ASI yang ada di bagian resepsionis.","['saya', 'merekomendasikan', 'anda', 'untuk', 'menginap', 'di', 'hotel', 'ini', 'pelayanannya', 'bagus', 'ramah', 'dan', 'makanannya', 'juga', 'enak', 'sebagai', 'ibu', 'yg', 'sedang', 'menyusui', 'saya', 'sangat', 'mengapresiasi', 'atas', 'layanan', 'penyimpanan', 'asi', 'yang', 'ada', 'di', 'bagian', 'resepsionis']"
"Menu resto lengkap, pelayanan oke. Best bgt deh thank u!","['menu', 'resto', 'lengkap', 'pelayanan', 'oke', 'best', 'bgt', 'deh', 'thank', 'u']"
"Sarapan lengkap, enak
Pelayanan bagus dengan mbak devita","['sarapan', 'lengkap', 'enak', 'pelayanan', 'bagus', 'dengan', 'mbak', 'devita']"
"pelayanan top, tempat nyaman sekali
sangatt recomend","['pelayanan', 'top', 'tempat', 'nyaman', 'sekali', 'sangatt', 'recomend']"
"Menunya bervariatif dan enak2, pilihan desertnya juga banyak 👍 …","['menunya', 'bervariatif', 'dan', 'enak', 'pilihan', 'desertnya', 'juga', 'banyak']"
"Staff ramah itu jd menutupi kekurangan yg lain sih. Terimakasih ya mba dan mas!

Too bad kamarnya gelap, TV nya gambarnya semut jd kurang clear, heater nya mesti …","['staff', 'ramah', 'itu', 'jd', 'menutupi', 'kekurangan', 'yg', 'lain', 'sih', 'terimakasih', 'ya', 'mba', 'dan', 'mas', 'too', 'bad', 'kamarnya', 'gelap', 'tv', 'nya', 'gambarnya', 'semut', 'jd', 'kurang', 'clear', 'heater', 'nya', 'mesti']"
"Untuk kamar bersih, aman dan nyaman, bisa di jadikan rekomendasi buat nginap atau staycation tpi sama istri loh, staff nya juga ramah 👍👍 …","['untuk', 'kamar', 'bersih', 'aman', 'dan', 'nyaman', 'bisa', 'di', 'jadikan', 'rekomendasi', 'buat', 'nginap', 'atau', 'staycation', 'tpi', 'sama', 'istri', 'loh', 'staff', 'nya', 'juga', 'ramah']"
Kamar dan suasana nyaman..bersih..ga bakal nyesel nginep disini..sarapannya juga enak enak..sampe bingung😁.TKS kak Caroline sudah menservice kita dgn happy …,"['kamar', 'dan', 'suasana', 'nyaman', 'bersih', 'ga', 'bakal', 'nyesel', 'nginep', 'disini', 'sarapannya', 'juga', 'enak', 'enak', 'sampe', 'bingung', 'tks', 'kak', 'caroline', 'sudah', 'menservice', 'kita', 'dgn', 'happy']"
